ID,Title,Difficulty,Leetcode Question Link,Tags,
355,Design Twitter,Medium, https://leetcode.com/problems/design-twitter," ""Hash Table","[' Linked List', ' Design', ' Heap (Priority Queue)""']"
890,Find and Replace Pattern,Medium, https://leetcode.com/problems/find-and-replace-pattern," ""Hash Table","[' String""']"
1496,Path Crossing,Easy, https://leetcode.com/problems/path-crossing," ""Hash Table","[' String""']"
1485,Clone Binary Tree With Random Pointer,Medium, https://leetcode.com/problems/clone-binary-tree-with-random-pointer," ""Hash Table","[' Tree', ' Depth-First Search', ' Breadth-First Search', ' Binary Tree""']"
1490,Clone N-ary Tree,Medium, https://leetcode.com/problems/clone-n-ary-tree," ""Hash Table","[' Tree', ' Depth-First Search', ' Breadth-First Search""']"
1396,Design Underground System,Medium, https://leetcode.com/problems/design-underground-system," ""Hash Table","[' String', ' Design""']"
1297,Maximum Number of Occurrences of a Substring,Medium, https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring," ""Hash Table","[' String', ' Sliding Window""']"
1347,Minimum Number of Steps to Make Two Strings Anagram,Medium, https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram," ""Hash Table","[' String""']"
424,Longest Repeating Character Replacement,Medium, https://leetcode.com/problems/longest-repeating-character-replacement," ""Hash Table","[' String', ' Sliding Window""']"
246,Strobogrammatic Number,Easy, https://leetcode.com/problems/strobogrammatic-number," ""Hash Table","[' Two Pointers""']"
1258,Synonymous Sentences,Medium, https://leetcode.com/problems/synonymous-sentences," ""Hash Table","[' String', ' Backtracking', ' Union Find""']"
1358,Number of Substrings Containing All Three Characters,Medium, https://leetcode.com/problems/number-of-substrings-containing-all-three-characters," ""Hash Table","[' String', ' Sliding Window""']"
379,Design Phone Directory,Medium, https://leetcode.com/problems/design-phone-directory," ""Hash Table","[' Linked List', ' Design""']"
398,Random Pick Index,Medium, https://leetcode.com/problems/random-pick-index," ""Hash Table","[' Math', ' Reservoir Sampling""']"
676,Implement Magic Dictionary,Medium, https://leetcode.com/problems/implement-magic-dictionary," ""Hash Table","[' String', ' Design', ' Trie""']"
893,Groups of Special-Equivalent Strings,Easy, https://leetcode.com/problems/groups-of-special-equivalent-strings," ""Hash Table","[' String""']"
1357,Apply Discount Every n Orders,Medium, https://leetcode.com/problems/apply-discount-every-n-orders," ""Hash Table","[' Design""']"
828,Count Unique Characters of All Substrings of a Given String,Hard, https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string," ""Hash Table","[' String', ' Dynamic Programming""']"
288,Unique Word Abbreviation,Medium,https://leetcode.com/problems/unique-word-abbreviation,"Hash Table, String",
1218,Longest Arithmetic Subsequence of Given Difference,Medium,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference,"Hash Table, Dynamic Programming",
734,Sentence Similarity,Easy,https://leetcode.com/problems/sentence-similarity,"Hash Table, String",
748,Shortest Completing Word,Easy,https://leetcode.com/problems/shortest-completing-word,"Hash Table, String",
760,Find Anagram Mappings,Easy,https://leetcode.com/problems/find-anagram-mappings,Hash Table,
1138,Alphabet Board Path,Medium,https://leetcode.com/problems/alphabet-board-path,"Hash Table, String",
533,Lonely Pixel II,Medium,https://leetcode.com/problems/lonely-pixel-ii,"Array, Hash Table",
519,Random Flip Matrix,Medium,https://leetcode.com/problems/random-flip-matrix,"Hash Table, Math",
1207,Unique Number of Occurrences,Easy,https://leetcode.com/problems/unique-number-of-occurrences,Hash Table,
1346,Check If N and Its Double Exist,Easy,https://leetcode.com/problems/check-if-n-and-its-double-exist,"Array, Hash Table",
