ID,Title,Difficulty,Leetcode Question Link,Tags,
703,Kth Largest Element in a Stream,Easy, https://leetcode.com/problems/kth-largest-element-in-a-stream," ""Heap","[' Design""']"
295,Find Median from Data Stream,Hard, https://leetcode.com/problems/find-median-from-data-stream," ""Heap","[' Design', ' Data Stream""']"
313,Super Ugly Number,Medium,https://leetcode.com/problems/super-ugly-number,"Heap, Math",
656,Coin Path,Hard,https://leetcode.com/problems/coin-path,"Dynamic Programming, Heap",
786,K-th Smallest Prime Fraction,Hard,https://leetcode.com/problems/k-th-smallest-prime-fraction,"Heap, Binary Search",
1354,Construct Target Array With Multiple Sums,Hard,https://leetcode.com/problems/construct-target-array-with-multiple-sums,"Heap, Greedy",
